Driver,Stint,Compound,TyreLife,FreshTyre,LapStart,LapEnd,NumLaps
1,1,MEDIUM,23.0,True,1.0,23.0,23
1,2,HARD,35.0,True,24.0,58.0,35
81,1,HARD,41.0,True,1.0,41.0,41
81,2,MEDIUM,17.0,True,42.0,58.0,17
4,1,MEDIUM,16.0,True,1.0,16.0,16
4,2,HARD,24.0,True,17.0,40.0,24
4,3,HARD,18.0,True,41.0,58.0,18
16,1,MEDIUM,16.0,True,1.0,16.0,16
16,2,HARD,23.0,True,17.0,39.0,23
16,3,MEDIUM,22.0,False,40.0,58.0,19
63,1,MEDIUM,14.0,True,1.0,14.0,14
63,2,HARD,44.0,True,15.0,58.0,44
14,1,MEDIUM,17.0,False,1.0,16.0,16
14,2,HARD,43.0,False,17.0,58.0,42
31,1,MEDIUM,19.0,True,1.0,19.0,19
31,2,HARD,39.0,True,20.0,58.0,39
44,1,SOFT,8.0,True,1.0,8.0,8
44,2,HARD,23.0,True,9.0,31.0,23
44,3,MEDIUM,27.0,True,32.0,58.0,27
27,1,SOFT,7.0,True,1.0,7.0,7
27,2,HARD,35.0,True,8.0,42.0,35
27,3,MEDIUM,16.0,True,43.0,58.0,16
18,1,HARD,43.0,False,1.0,42.0,42
18,2,MEDIUM,17.0,False,43.0,58.0,16
5,1,MEDIUM,15.0,True,1.0,15.0,15
5,2,HARD,43.0,True,16.0,58.0,43
87,1,MEDIUM,14.0,True,1.0,14.0,14
87,2,HARD,44.0,True,15.0,58.0,44
55,1,MEDIUM,18.0,True,1.0,18.0,18
55,2,HARD,40.0,True,19.0,58.0,40
22,1,HARD,32.0,True,1.0,32.0,32
22,2,MEDIUM,26.0,True,33.0,58.0,26
12,1,HARD,32.0,True,1.0,32.0,32
12,2,MEDIUM,26.0,True,33.0,58.0,26
23,1,SOFT,8.0,True,1.0,8.0,8
23,2,HARD,25.0,True,9.0,33.0,25
23,3,MEDIUM,25.0,True,34.0,58.0,25
6,1,MEDIUM,14.0,True,1.0,14.0,14
6,2,HARD,43.0,True,15.0,57.0,43
30,1,MEDIUM,21.0,True,1.0,21.0,21
30,2,HARD,36.0,True,22.0,57.0,36
10,1,MEDIUM,13.0,True,1.0,13.0,13
10,2,HARD,27.0,True,14.0,40.0,27
10,3,MEDIUM,20.0,False,41.0,57.0,17
43,1,MEDIUM,15.0,True,1.0,15.0,15
43,2,HARD,25.0,True,16.0,40.0,25
43,3,MEDIUM,17.0,True,41.0,57.0,17
