compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
MEDIUM,55,18,1,1276,9839,1,0
MEDIUM,10,13,1,1276,9839,1,0
MEDIUM,43,15,1,1276,9839,1,0
HARD,12,32,1,1276,9839,1,0
MEDIUM,63,14,1,1276,9839,1,0
SOFT,44,8,1,1276,9839,1,0
MEDIUM,6,14,1,1276,9839,1,0
MEDIUM,1,23,1,1276,9839,1,0
HARD,81,41,1,1276,9839,1,0
SOFT,23,8,1,1276,9839,1,0
MEDIUM,5,15,1,1276,9839,1,0
MEDIUM,30,21,1,1276,9839,1,0
SOFT,27,7,1,1276,9839,1,0
MEDIUM,14,16,1,1276,9839,1,1
MEDIUM,16,16,1,1276,9839,1,0
MEDIUM,31,19,1,1276,9839,1,0
MEDIUM,87,14,1,1276,9839,1,0
HARD,18,42,1,1276,9839,1,1
HARD,22,32,1,1276,9839,1,0
MEDIUM,4,16,1,1276,9839,1,0
HARD,27,42,8,1276,9839,2,0
HARD,44,31,9,1276,9839,2,0
HARD,23,33,9,1276,9839,2,0
HARD,10,40,14,1276,9839,2,0
HARD,63,58,15,1276,9839,2,0
HARD,6,57,15,1276,9839,2,0
HARD,87,58,15,1276,9839,2,0
HARD,5,58,16,1276,9839,2,0
HARD,43,40,16,1276,9839,2,0
HARD,4,40,17,1276,9839,2,0
HARD,16,39,17,1276,9839,2,0
HARD,14,58,17,1276,9839,2,1
HARD,55,58,19,1276,9839,2,0
HARD,31,58,20,1276,9839,2,0
HARD,30,57,22,1276,9839,2,0
HARD,1,58,24,1276,9839,2,0
MEDIUM,44,58,32,1276,9839,3,0
MEDIUM,22,58,33,1276,9839,2,0
MEDIUM,12,58,33,1276,9839,2,0
MEDIUM,23,58,34,1276,9839,3,0
MEDIUM,16,58,40,1276,9839,3,3
HARD,4,58,41,1276,9839,3,0
MEDIUM,10,57,41,1276,9839,3,3
MEDIUM,43,57,41,1276,9839,3,0
MEDIUM,81,58,42,1276,9839,2,0
MEDIUM,18,58,43,1276,9839,2,0
MEDIUM,27,58,43,1276,9839,3,0
